name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;817;0;840;3081;1413;3081;1528;0
header;67;130;67;163;1682;163;1682;130
D;958;191;958;218;993;218;993;191
A;856;195;856;221;879;221;879;195
B;822;245;822;263;836;263;836;245
B;1161;475;1161;491;1170;491;1170;475
B;856;769;856;797;877;797;877;769
D;1413;1356;1413;1384;1435;1384;1435;1356
C;851;1409;851;1436;871;1436;871;1409
C;1350;2059;1350;2077;1364;2077;1364;2059
A;985;2249;985;2261;992;2261;992;2249
B;837;2427;837;2441;859;2441;859;2427
D;851;2521;851;2547;872;2547;872;2521
